Ensembl_ID_CDDP,gene_biotype,external_gene_name,description
ENSG00000272994,C2orf49-DT,C2orf49 divergent transcript 
ENSG00000273199, antisense to MORC3
ENSG00000274213,novel transcript
ENSG00000274270, sense intronic to DLEU1
ENSG00000274292,novel transcript
ENSG00000274925,ZKSCAN2-DT,ZKSCAN2 divergent transcript 
ENSG00000275198,LINC02960,long intergenic non-protein coding RNA 2960 
ENSG00000275401,novel transcript
ENSG00000275437, sense intronic to CABLES2
ENSG00000275807, antisense to ATXN2L
ENSG00000276603, sense intronic to BLCAP
ENSG00000277161,PIGW,phosphatidylinositol glycan anchor biosynthesis class W 
ENSG00000277182, antisense to PCGF2
ENSG00000277597, antisense to PRPF8
ENSG00000277895, antisense to TBK1
ENSG00000278922,novel transcript
ENSG00000278963,TEC
ENSG00000279026,TEC
ENSG00000279048,tec
ENSG00000279086,TEC
ENSG00000279259,TEC
ENSG00000279283,novel transcript
ENSG00000279452,TEC
ENSG00000279602,TEC
ENSG00000279608,TEC
ENSG00000279641,TEC
ENSG00000279656,TEC
ENSG00000279696,novel transcript
ENSG00000279762, antisense to PSMD11
ENSG00000279901,tec
ENSG00000279953,novel transcript
ENSG00000280129,TEC
ENSG00000280152,TEC
ENSG00000280162,TEC
ENSG00000280184,TEC
ENSG00000280213,UCKL1-AS1,UCKL1 antisense RNA 1 
ENSG00000280239,TEC
ENSG00000280254,TEC
ENSG00000280614, similar to YY1 associated myogenesis RNA 1 YAM1
ENSG00000280800, similar to YY1 associated myogenesis RNA 1 YAM1
ENSG00000281181, similar to YY1 associated myogenesis RNA 1 YAM1
ENSG00000281207,SLFNL1-AS1,SLFNL1 antisense RNA 1 
ENSG00000281383, similar to YY1 associated myogenesis RNA 1 YAM1
ENSG00000282021,novel transcript
ENSG00000282542,TEC
ENSG00000282936,novel protein
ENSG00000283078,novel transcript
ENSG00000284526,novel protein
ENSG00000285230,RALY-AS1,RALY antisense RNA 1 
ENSG00000285292,ABCF2-H2BK1,ABCF2-H2BK1 readthrough 
ENSG00000285589,novel transcript
ENSG00000285763, antisense to C6orf52
