ensembl_gene_id,external_gene_name,entrezgene_id,gene_biotype,description
ENSG00000127423,AUNIP,79000,protein_coding,aurora kinase A and ninein interacting protein [Source:HGNC Symbol;Acc:HGNC:28363]
ENSG00000127564,PKMYT1,9088,protein_coding,protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]
ENSG00000128050,PAICS,10606,protein_coding,phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase [Source:HGNC Symbol;Acc:HGNC:8587]
ENSG00000128578,STRIP2,57464,protein_coding,striatin interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:22209]
ENSG00000128692,EIF2S2P4,NA,processed_pseudogene,eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:37626]
ENSG00000128944,KNSTRN,90417,protein_coding,kinetochore localized astrin (SPAG5) binding protein [Source:HGNC Symbol;Acc:HGNC:30767]
ENSG00000129173,E2F8,79733,protein_coding,E2F transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24727]
ENSG00000129195,PIMREG,54478,protein_coding,PICALM interacting mitotic regulator [Source:HGNC Symbol;Acc:HGNC:25483]
ENSG00000129235,TXNDC17,84817,protein_coding,thioredoxin domain containing 17 [Source:HGNC Symbol;Acc:HGNC:28218]
ENSG00000129810,SGO1,151648,protein_coding,shugoshin 1 [Source:HGNC Symbol;Acc:HGNC:25088]
ENSG00000131153,GINS2,51659,protein_coding,GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]
ENSG00000131187,F12,2161,protein_coding,coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]
ENSG00000131650,KREMEN2,79412,protein_coding,kringle containing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:18797]
ENSG00000131747,TOP2A,7153,protein_coding,DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]
ENSG00000131876,SNRPA1,6627,protein_coding,small nuclear ribonucleoprotein polypeptide A' [Source:HGNC Symbol;Acc:HGNC:11152]
ENSG00000132646,PCNA,5111,protein_coding,proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]
ENSG00000132967,HMGB1P5,NA,transcribed_processed_pseudogene,high mobility group box 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:4997]
ENSG00000133119,RFC3,5983,protein_coding,replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]
ENSG00000134057,CCNB1,891,protein_coding,cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]
ENSG00000134222,PSRC1,84722,protein_coding,proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]
ENSG00000134333,LDHA,3939,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]
ENSG00000134690,CDCA8,55143,protein_coding,cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]
ENSG00000135451,TROAP,10024,protein_coding,trophinin associated protein [Source:HGNC Symbol;Acc:HGNC:12327]
ENSG00000135454,B4GALNT1,2583,protein_coding,beta-1,4-N-acetyl-galactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4117]
ENSG00000135476,ESPL1,9700,protein_coding,extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]
ENSG00000136122,BORA,79866,protein_coding,BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]
